Pregunta,Consulta,Tabla,Valores,Categoría
Quiero ver todas las licitaciones de Principado de Asturias.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Principado de Asturias';,expedientes,{'region': 'Principado de Asturias'},region
¿Qué expedientes están registrados en Teruel?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Teruel';,expedientes,{'region': 'Teruel'},region
Quiero ver todas las licitaciones de Girona.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Girona';,expedientes,{'region': 'Girona'},region
Solicito información de licitaciones en Soria.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Soria';,expedientes,{'region': 'Soria'},region
¿Qué contratos existen ahora mismo para la región de Comunitat Valenciana?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Comunitat Valenciana';,expedientes,{'region': 'Comunitat Valenciana'},region
"Contratos en Castilla-La Mancha, ¿puedes listarlos?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Castilla-La Mancha';,expedientes,{'region': 'Castilla-La Mancha'},region
Solicito información de expedientes en Cuenca.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Cuenca';,expedientes,{'region': 'Cuenca'},region
"Muéstrame todas las licitaciones de Patrimonial en Consejo de Administración de la Sociedad Mercantil Estatal de Gestión Inmobiliaria de Patrimonio, M.P.S.A. (Segipsa) que estén Resuelto y no superen 597000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejo de Administración de la Sociedad Mercantil Estatal de Gestión Inmobiliaria de Patrimonio, M.P.S.A. (Segipsa)' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.contract_folder_status = 'Resuelto' AND expedientes.total_amount < 597000;",expedientes,"{'tipo': 'Patrimonial', 'entidad': 'Consejo de Administración de la Sociedad Mercantil Estatal de Gestión Inmobiliaria de Patrimonio, M.P.S.A. (Segipsa)', 'estado': 'Resuelto', 'cuantia': 597000}",entidad_tipo_estado_cuantia_inferior
¿Qué expedientes de Obras están registrados en Alcaldía del Ayuntamiento de Cuevas del Becerro con estado Anuncio Previo y presupuestos menores a 24000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Cuevas del Becerro' AND expedientes.procurement_project_type_code = 'Obras' AND expedientes.contract_folder_status = 'Anuncio Previo' AND expedientes.total_amount < 24000;,expedientes,"{'tipo': 'Obras', 'entidad': 'Alcaldía del Ayuntamiento de Cuevas del Becerro', 'estado': 'Anuncio Previo', 'cuantia': 24000}",entidad_tipo_estado_cuantia_inferior
Muéstrame todas las licitaciones de Concesión de Servicios en Alcaldía del Ayuntamiento de Santillana del Mar que estén Resuelto y no superen 864000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Santillana del Mar' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.contract_folder_status = 'Resuelto' AND expedientes.total_amount < 864000;,expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Alcaldía del Ayuntamiento de Santillana del Mar', 'estado': 'Resuelto', 'cuantia': 864000}",entidad_tipo_estado_cuantia_inferior
Busco todas las licitaciones Adjudicado de Gestión de Servicios Públicos en Consejo de Gobierno Insular del Cabildo Insular de Tenerife por debajo de 757000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejo de Gobierno Insular del Cabildo Insular de Tenerife' AND expedientes.procurement_project_type_code = 'Gestión de Servicios Públicos' AND expedientes.contract_folder_status = 'Adjudicado' AND expedientes.total_amount < 757000;,expedientes,"{'estado': 'Adjudicado', 'tipo': 'Gestión de Servicios Públicos', 'entidad': 'Consejo de Gobierno Insular del Cabildo Insular de Tenerife', 'cuantia': 757000}",entidad_tipo_estado_cuantia_inferior
"Enseña los contratos Adjudicado de Concesión de Servicios en Consejo de Administración de la Sociedad Mercantil Estatal de Gestión Inmobiliaria de Patrimonio, M.P.S.A. (Segipsa) por debajo de 590000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejo de Administración de la Sociedad Mercantil Estatal de Gestión Inmobiliaria de Patrimonio, M.P.S.A. (Segipsa)' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.contract_folder_status = 'Adjudicado' AND expedientes.total_amount < 590000;",expedientes,"{'estado': 'Adjudicado', 'tipo': 'Concesión de Servicios', 'entidad': 'Consejo de Administración de la Sociedad Mercantil Estatal de Gestión Inmobiliaria de Patrimonio, M.P.S.A. (Segipsa)', 'cuantia': 590000}",entidad_tipo_estado_cuantia_inferior
