,Pregunta,Consulta,Tabla,Valores,Categoría
157,¿Cuáles son los contratos de la región de Lanzarote?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Lanzarote';,expedientes,{'region': 'Lanzarote'},region
341,Licitaciones en Galicia,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Galicia';,expedientes,{'region': 'Galicia'},region
315,Busco todas las licitaciones en Badajoz.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Badajoz';,expedientes,{'region': 'Badajoz'},region
234,Contratos de Huelva.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Huelva';,expedientes,{'region': 'Huelva'},region
155,¿Cuáles son los contratos de la región de Gipuzkoa?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Gipuzkoa';,expedientes,{'region': 'Gipuzkoa'},region
274,¿Cuáles son las licitaciones de la región de Cataluña?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Cataluña';,expedientes,{'region': 'Cataluña'},region
9257,"Lista todos los contratos de tipo privado, que se encuentren en evaluación, de la Consejería de Educación, Formación Profesional y Turismo del Gobierno de Cantabria, por debajo de 397000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejería de Educación, Formación Profesional y Turismo del Gobierno de Cantabria' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.contract_folder_status = 'En evaluación' AND expedientes.total_amount < 397000;",expedientes,"{'tipo': 'Privado', 'estado': 'En evaluación', 'entidad': 'Consejería de Educación, Formación Profesional y Turismo del Gobierno de Cantabria', 'cuantia': 397000}",entidad_tipo_estado_cuantia_inferior
9441,"Muestra las licitaciones de obras para el Instituto Cántabro de Estadística, en estado resuelto, y un coste inferior a 206000€.",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Instituto Cántabro de Estadística' AND expedientes.procurement_project_type_code = 'Obras' AND expedientes.contract_folder_status = 'Resuelto' AND expedientes.total_amount < 206000;,expedientes,"{'tipo': 'Obras', 'entidad': 'Instituto Cántabro de Estadística', 'estado': 'Resuelto', 'cuantia': 206000}",entidad_tipo_estado_cuantia_inferior
9415,Enseña las licitaciones en anuncio previo de suministros para la Junta de Gobierno Local del Ayuntamiento de Sada por debajo de 884000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno Local del Ayuntamiento de Sada' AND expedientes.procurement_project_type_code = 'Suministros' AND expedientes.contract_folder_status = 'Anuncio Previo' AND expedientes.total_amount < 884000;,expedientes,"{'estado': 'Anuncio Previo', 'tipo': 'Suministros', 'entidad': 'Junta de Gobierno Local del Ayuntamiento de Sada', 'cuantia': 884000}",entidad_tipo_estado_cuantia_inferior
9334,"Contratos de patrimonial, en estado anuncio Previo, para Aena. Dirección de Contratación, cuyo importe esté por debajo de 41000€, ¿qué opciones hay?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Aena. Dirección de Contratación' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.contract_folder_status = 'Anuncio Previo' AND expedientes.total_amount < 41000;,expedientes,"{'tipo': 'Patrimonial', 'estado': 'Anuncio Previo', 'entidad': 'Aena. Dirección de Contratación', 'cuantia': 41000}",entidad_tipo_estado_cuantia_inferior
